Timestamp,¿Está dispuesto a completar esta encuesta por completo y una sola una vez?,Edad,Género,Ingresos mensuales promedio,Vivo en:,En mi recibo del servicio eléctrico dice que vivo en estrato,Filiación religiosa,Grupo Sanguíneo,¿Piensa votar en las próximas elecciones Alcaldía Bogotá 2015?,¿Tiene algún tipo de filiación con un grupo político?,"Ahora si, ¿Por quién piensa votar en las próxima elecciones Alcaldía Bogotá 2015?"
10/14/2015 22:13:14,Si,18-22,Masculino,1 a 2 SMMLV,Bogotá,2,Ninguna/Otra/No le importa,O+,Si,No,Daniel Raisbeck (Movimiento Libertario)
10/14/2015 22:37:19,Si,23-28,Masculino,4 a 6 SMMLV,Bogotá,3,Ateo,O+,Si,Si,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/14/2015 22:49:20,Si,18-22,Masculino,1 a 2 SMMLV,Bogotá,3,Ateo,O-,Si,Si,Daniel Raisbeck (Movimiento Libertario)
10/14/2015 23:42:44,Si,18-22,LGBTIYXUPAH,1 a 2 SMMLV,Bogotá,3,Pastafarianista (con o sin albóndigas),A+,No me decido/No me importa,No,Clara López Obregón (Polo Democrático)
10/15/2015 11:56:29,Si,41-48,Masculino,4 a 6 SMMLV,Bogotá,3,Ateo,O+,Si,No,Daniel Raisbeck (Movimiento Libertario)
10/15/2015 14:18:01,Si,18-22,Masculino,Menos de un SMMLV,Bogotá,2,Ateo,A+,Si,No,Clara López Obregón (Polo Democrático)
10/15/2015 22:40:40,Si,23-28,Masculino,4 a 6 SMMLV,Bogotá,4,Ninguna/Otra/No le importa,A+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/16/2015 15:35:49,Si,23-28,Masculino,Menos de un SMMLV,"Lejos, muy lejos",2,"Católico, Apostólico y Romano",O+,No,No,"Alex Vernot (Pueblo, Tierra y Futuro)"
10/16/2015 18:59:52,Si,41-48,Masculino,11 a 15 SMMLV,Bogotá,6,"Católico, Apostólico y Romano",A+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/16/2015 19:03:17,Si,41-48,Masculino,11 a 15 SMMLV,Bogotá,6,"Católico, Apostólico y Romano",A+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/19/2015 17:59:54,Si,18-22,Femenino,Menos de un SMMLV,Bogotá,2,Ateo,A+,Si,Si,Clara López Obregón (Polo Democrático)
